id,city,site_name,site,state,query_name,to_date,to_time,from_date,from_time,pm25,pm10,SO2,CO,Ozone
2502,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191012,13-Oct-2019,00:00,12-Oct-2019,00:00,122.14,300.58,8.9,2.23,40.35
2503,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191014,15-Oct-2019,00:00,14-Oct-2019,00:00,138.08,441.73,16.53,2.7,30.05
2504,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191016,17-Oct-2019,00:00,16-Oct-2019,00:00,155.49,430.86,11.4,2.08,39.36
2505,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191018,19-Oct-2019,00:00,18-Oct-2019,00:00,91.2,339.1,9.58,1.14,29.99
2506,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191020,21-Oct-2019,00:00,20-Oct-2019,00:00,114.0,342.65,15.77,1.78,26.01
2507,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191022,23-Oct-2019,00:00,22-Oct-2019,00:00,103.0,322.4,19.01,1.71,24.22
2508,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191024,25-Oct-2019,00:00,24-Oct-2019,00:00,167.96,459.03,20.03,3.78,31.12
2509,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191026,27-Oct-2019,00:00,26-Oct-2019,00:00,147.69,424.78,20.86,2.59,36.76
2510,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191028,29-Oct-2019,00:00,28-Oct-2019,00:00,274.55,549.72,15.64,2.56,30.9
2511,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191030,31-Oct-2019,00:00,30-Oct-2019,00:00,276.69,530.77,20.56,3.58,14.4
2512,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191101,02-Nov-2019,00:00,01-Nov-2019,00:00,439.54,722.47,15.62,3.17,15.93
2513,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191103,04-Nov-2019,00:00,03-Nov-2019,00:00,552.9,681.08,12.14,2.57,7.29
2514,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191105,06-Nov-2019,00:00,05-Nov-2019,00:00,160.91,356.42,20.35,2.08,21.91
2515,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191107,08-Nov-2019,00:00,07-Nov-2019,00:00,190.69,300.58,8.13,1.94,6.19
2516,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191109,10-Nov-2019,00:00,09-Nov-2019,00:00,169.04,306.53,7.98,1.36,22.16
2517,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191111,12-Nov-2019,00:00,11-Nov-2019,00:00,260.9,526.97,16.05,2.55,28.55
2518,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191113,14-Nov-2019,00:00,13-Nov-2019,00:00,470.24,720.41,20.44,3.87,39.21
2519,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191115,16-Nov-2019,00:00,15-Nov-2019,00:00,561.21,669.75,9.35,3.26,41.24
2520,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191117,18-Nov-2019,00:00,17-Nov-2019,00:00,117.88,229.65,12.2,0.96,38.72
2521,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191119,20-Nov-2019,00:00,19-Nov-2019,00:00,121.31,324.35,14.17,1.86,37.59
2522,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191121,22-Nov-2019,00:00,21-Nov-2019,00:00,250.81,563.85,27.79,5.36,66.28
2523,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191123,24-Nov-2019,00:00,23-Nov-2019,00:00,148.15,307.21,13.33,1.19,29.47
2524,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191125,26-Nov-2019,00:00,25-Nov-2019,00:00,153.24,330.64,23.97,3.06,30.32
2525,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191127,28-Nov-2019,00:00,27-Nov-2019,00:00,68.39,176.22,15.72,1.11,35.61
2526,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191129,30-Nov-2019,00:00,29-Nov-2019,00:00,59.14,150.16,16.46,1.35,28.97
2527,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191201,02-Dec-2019,00:00,01-Dec-2019,00:00,143.48,279.99,15.4,1.56,37.44
2528,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191203,04-Dec-2019,00:00,03-Dec-2019,00:00,148.54,359.88,14.72,1.55,35.91
